Batch Size,Model Name,Compilation Type,Time,Device,Component
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,7300.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,None,14300.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,default,13600.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14100.0,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,None,32.1,4090,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,default,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,default,32.2,4090,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,reduce-overhead,32.3,4090,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,None,10.8,4090,vae
2,runwayml/stable-diffusion-v1-5,None,71.9,4090,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,default,10.8,4090,vae
2,runwayml/stable-diffusion-v1-5,default,71.9,4090,vae
